Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date,Host_Country,Innings_Team1,Innings_Team2
ODI # 2840,South Africa,Australia,South Africa,61 runs,Port Elizabeth,13-Apr-09,West Indies,Second,First
ODI # 2841,South Africa,Australia,Australia,47 runs,Johannesburg,17-Apr-09,Zimbabwe,Second,First
ODI # 2842,Afghanistan,Scotland,Afghanistan,89 runs,Benoni,19-Apr-09,West Indies,Second,First
ODI # 2843,Canada,Ireland,Ireland,9 wickets,Centurion,19-Apr-09,Zimbabwe,Second,First
ODI # 2844,Kenya,Netherlands,Netherlands,6 wickets,Potchefstroom,19-Apr-09,West Indies,First,Second
ODI # 2845,Australia,Pakistan,Pakistan,4 wickets,Dubai (DSC),22-Apr-09,Zimbabwe,First,Second
ODI # 2846,Australia,Pakistan,Australia,6 wickets,Dubai (DSC),24-Apr-09,Zimbabwe,Second,First
ODI # 2847,Australia,Pakistan,Australia,27 runs,Abu Dhabi,27-Apr-09,West Indies,First,Second
ODI # 2848,Australia,Pakistan,Australia,8 wickets,Abu Dhabi,1-May-09,Zimbabwe,First,Second
ODI # 2849,Australia,Pakistan,Pakistan,7 wickets,Abu Dhabi,3-May-09,Zimbabwe,Second,First
ODI # 2850,England,West Indies,England,6 wickets,Bristol,24-May-09,Zimbabwe,First,Second
ODI # 2851,England,West Indies,England,58 runs,Birmingham,26-May-09,Sri Lanka,First,Second
ODI # 2852,West Indies,India,India,20 runs,Kingston,26-Jun-09,Netherlands,Second,First
ODI # 2853,West Indies,India,West Indies,8 wickets,Kingston,28-Jun-09,Sri Lanka,First,Second
ODI # 2854,West Indies,India,India,6 wickets,Gros Islet,3-Jul-09,Ireland,Second,First
ODI # 2855,West Indies,India,no result,,Gros Islet,5-Jul-09,Sri Lanka,First,Second
ODI # 2856,Scotland,Canada,Canada,6 wickets,Aberdeen,7-Jul-09,Sri Lanka,Second,First
ODI # 2857,Scotland,Canada,Scotland,5 wickets,Aberdeen,8-Jul-09,Scotland,First,Second
ODI # 2858,Ireland,Kenya,Ireland,3 wickets,Dublin,9-Jul-09,Sri Lanka,Second,First
ODI # 2859,Netherlands,Canada,Netherlands,50 runs,Amstelveen,11-Jul-09,Sri Lanka,Second,First
ODI # 2860,Ireland,Kenya,Ireland,52 runs,Dublin,11-Jul-09,England,Second,First
ODI # 2861,Ireland,Kenya,Ireland,4 runs,Dublin,12-Jul-09,Sri Lanka,Second,First
ODI # 2862,West Indies,Bangladesh,Bangladesh,52 runs,Roseau,26-Jul-09,England,Second,First
ODI # 2863,West Indies,Bangladesh,Bangladesh,3 wickets,Roseau,28-Jul-09,England,Second,First
ODI # 2864,Sri Lanka,Pakistan,Sri Lanka,36 runs,Dambulla,30-Jul-09,England,Second,First
ODI # 2865,West Indies,Bangladesh,Bangladesh,3 wickets,Basseterre,31-Jul-09,Netherlands,Second,First
ODI # 2866,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Dambulla,1-Aug-09,Netherlands,Second,First
ODI # 2867,Sri Lanka,Pakistan,Sri Lanka,6 wickets,Dambulla,3-Aug-09,Netherlands,First,Second
ODI # 2868,Sri Lanka,Pakistan,Pakistan,146 runs,Colombo (RPS),7-Aug-09,Netherlands,Second,First
ODI # 2869,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Bulawayo,9-Aug-09,Netherlands,Second,First
ODI # 2870,Sri Lanka,Pakistan,Pakistan,132 runs,Colombo (RPS),9-Aug-09,Netherlands,First,Second
ODI # 2871,Zimbabwe,Bangladesh,Bangladesh,49 runs,Bulawayo,11-Aug-09,England,Second,First
ODI # 2872,Zimbabwe,Bangladesh,Zimbabwe,69 runs,Bulawayo,14-Aug-09,Netherlands,Second,First
ODI # 2873,Zimbabwe,Bangladesh,Bangladesh,4 wickets,Bulawayo,16-Aug-09,Netherlands,Second,First
ODI # 2874,Zimbabwe,Bangladesh,Bangladesh,5 wickets,Bulawayo,18-Aug-09,Netherlands,Second,First
ODI # 2875,Canada,Kenya,Canada,9 wickets,King City (NW),19-Aug-09,Netherlands,First,Second
ODI # 2876,Scotland,Ireland,Ireland,96 runs,Aberdeen,22-Aug-09,Netherlands,Second,First
ODI # 2877,Canada,Kenya,no result,,King City (NW),22-Aug-09,Netherlands,First,Second
ODI # 2878,Ireland,England,England,3 runs,Belfast,27-Aug-09,England,Second,First
ODI # 2879,Scotland,Australia,Australia,189 runs,Edinburgh,28-Aug-09,Netherlands,First,Second
ODI # 2880,Netherlands,Afghanistan,Netherlands,8 runs,Amstelveen,30-Aug-09,Netherlands,Second,First
ODI # 2881,Netherlands,Afghanistan,Afghanistan,6 wickets,Amstelveen,1-Sep-09,Netherlands,Second,First
ODI # 2882,England,Australia,Australia,4 runs,The Oval,4-Sep-09,Netherlands,Second,First
ODI # 2883,England,Australia,Australia,39 runs,Lord's,6-Sep-09,Netherlands,Second,First
ODI # 2884,Sri Lanka,New Zealand,Sri Lanka,97 runs,Colombo (RPS),8-Sep-09,Netherlands,First,Second
ODI # 2885,England,Australia,Australia,6 wickets,Southampton,9-Sep-09,England,Second,First
ODI # 2886,India,New Zealand,India,6 wickets,Colombo (RPS),11-Sep-09,England,First,Second
ODI # 2887,Sri Lanka,India,Sri Lanka,139 runs,Colombo (RPS),12-Sep-09,Ireland,Second,First
ODI # 2888,England,Australia,Australia,7 wickets,Lord's,12-Sep-09,Ireland,First,Second
ODI # 2889,Sri Lanka,India,India,46 runs,Colombo (RPS),14-Sep-09,Scotland,First,Second
ODI # 2890,England,Australia,Australia,4 wickets,Nottingham,15-Sep-09,Sri Lanka,Second,First
ODI # 2891,England,Australia,Australia,111 runs,Nottingham,17-Sep-09,Sri Lanka,Second,First
ODI # 2892,England,Australia,England,4 wickets,Chester-le-Street,20-Sep-09,Sri Lanka,First,Second
ODI # 2893,South Africa,Sri Lanka,Sri Lanka,55 runs,Centurion,22-Sep-09,Scotland,First,Second
ODI # 2894,Pakistan,West Indies,Pakistan,5 wickets,Johannesburg,23-Sep-09,Ireland,First,Second
ODI # 2895,South Africa,New Zealand,South Africa,5 wickets,Centurion,24-Sep-09,Scotland,Second,First
ODI # 2896,England,Sri Lanka,England,6 wickets,Johannesburg,25-Sep-09,Ireland,Second,First
ODI # 2897,Australia,West Indies,Australia,50 runs,Johannesburg,26-Sep-09,Sri Lanka,Second,First
ODI # 2898,India,Pakistan,Pakistan,54 runs,Centurion,26-Sep-09,Sri Lanka,First,Second
ODI # 2899,New Zealand,Sri Lanka,New Zealand,38 runs,Johannesburg,27-Sep-09,Sri Lanka,First,Second
ODI # 2900,South Africa,England,England,22 runs,Centurion,27-Sep-09,Canada,First,Second
ODI # 2901,Australia,India,no result,,Centurion,28-Sep-09,Canada,Second,First
ODI # 2902,England,New Zealand,New Zealand,4 wickets,Johannesburg,29-Sep-09,England,First,Second
ODI # 2903,Australia,Pakistan,Australia,2 wickets,Centurion,30-Sep-09,England,Second,First
ODI # 2904,India,West Indies,India,7 wickets,Johannesburg,30-Sep-09,England,Second,First
ODI # 2905,Australia,England,Australia,9 wickets,Centurion,2-Oct-09,England,Second,First
ODI # 2906,New Zealand,Pakistan,New Zealand,5 wickets,Johannesburg,3-Oct-09,England,First,Second
ODI # 2907,Australia,New Zealand,Australia,6 wickets,Centurion,5-Oct-09,Zimbabwe,Second,First
ODI # 2908,Zimbabwe,Kenya,Zimbabwe,91 runs,Harare,12-Oct-09,Zimbabwe,Second,First
ODI # 2909,Zimbabwe,Kenya,Zimbabwe,86 runs,Harare,13-Oct-09,Zimbabwe,Second,First
ODI # 2910,Zimbabwe,Kenya,Kenya,20 runs,Harare,15-Oct-09,Bangladesh,First,Second
ODI # 2911,Zimbabwe,Kenya,Zimbabwe,6 wickets,Harare,17-Oct-09,Kenya,First,Second
ODI # 2912,Zimbabwe,Kenya,Zimbabwe,142 runs,Harare,18-Oct-09,Kenya,First,Second
ODI # 2913,India,Australia,Australia,4 runs,Vadodara,25-Oct-09,Bangladesh,Second,First
ODI # 2914,Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Dhaka,27-Oct-09,Kenya,Second,First
ODI # 2915,India,Australia,India,99 runs,Nagpur,28-Oct-09,Bangladesh,First,Second
ODI # 2916,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Dhaka,29-Oct-09,South Africa,First,Second
ODI # 2917,Bangladesh,Zimbabwe,Bangladesh,4 wickets,Dhaka,31-Oct-09,Bangladesh,First,Second
ODI # 2918,India,Australia,India,6 wickets,Delhi,31-Oct-09,South Africa,Second,First
ODI # 2919,India,Australia,Australia,24 runs,Mohali,2-Nov-09,India,Second,First
ODI # 2920,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Chittagong,3-Nov-09,South Africa,First,Second
ODI # 2921,New Zealand,Pakistan,Pakistan,138 runs,Abu Dhabi,3-Nov-09,U.A.E.,First,Second
ODI # 2922,Bangladesh,Zimbabwe,Bangladesh,1 wicket,Chittagong,5-Nov-09,U.A.E.,Second,First
ODI # 2923,India,Australia,Australia,3 runs,Hyderabad (Deccan),5-Nov-09,U.A.E.,Second,First
ODI # 2924,New Zealand,Pakistan,New Zealand,64 runs,Abu Dhabi,6-Nov-09,Australia,First,Second
ODI # 2925,India,Australia,Australia,6 wickets,Guwahati,8-Nov-09,Australia,Second,First
ODI # 2926,South Africa,Zimbabwe,South Africa,45 runs,Benoni,8-Nov-09,U.A.E.,Second,First
ODI # 2927,New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,9-Nov-09,Australia,Second,First
ODI # 2928,South Africa,Zimbabwe,South Africa,212 runs,Centurion,10-Nov-09,U.A.E.,Second,First
ODI # 2929,South Africa,England,England,7 wickets,Centurion,22-Nov-09,India,First,Second
ODI # 2930,South Africa,England,South Africa,112 runs,Cape Town,27-Nov-09,Bangladesh,Second,First
ODI # 2931,South Africa,England,England,7 wickets,Port Elizabeth,29-Nov-09,India,Second,First
ODI # 2932,India,Sri Lanka,India,3 runs,Rajkot,15-Dec-09,Bangladesh,Second,First
ODI # 2933,India,Sri Lanka,Sri Lanka,3 wickets,Nagpur,18-Dec-09,India,Second,First
ODI # 2934,India,Sri Lanka,India,7 wickets,Cuttack,21-Dec-09,Bangladesh,First,Second
ODI # 2935,India,Sri Lanka,India,7 wickets,Kolkata,24-Dec-09,India,Second,First
ODI # 2936,India,Sri Lanka,no result,,Delhi,27-Dec-09,India,Second,First
ODI # 2937,Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Dhaka,4-Jan-10,Bangladesh,Second,First
ODI # 2938,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,5-Jan-10,South Africa,First,Second
ODI # 2939,Bangladesh,India,India,6 wickets,Dhaka,7-Jan-10,South Africa,Second,First
ODI # 2940,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Dhaka,8-Jan-10,Australia,Second,First
ODI # 2941,India,Sri Lanka,India,8 wickets,Dhaka,10-Jan-10,South Africa,First,Second
ODI # 2942,Bangladesh,India,India,6 wickets,Dhaka,11-Jan-10,Australia,First,Second
ODI # 2943,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,13-Jan-10,South Africa,First,Second
ODI # 2944,Australia,Pakistan,Australia,5 wickets,Brisbane,22-Jan-10,New Zealand,Second,First
ODI # 2945,Australia,Pakistan,Australia,140 runs,Sydney,24-Jan-10,Australia,Second,First
ODI # 2946,Australia,Pakistan,Australia,40 runs,Adelaide,26-Jan-10,South Africa,First,Second
ODI # 2947,Australia,Pakistan,Australia,135 runs,Perth,29-Jan-10,Australia,Second,First
ODI # 2948,Australia,Pakistan,Australia,2 wickets,Perth,31-Jan-10,New Zealand,Second,First
ODI # 2949,New Zealand,Bangladesh,New Zealand,146 runs,Napier,5-Feb-10,Australia,First,Second
ODI # 2950,Australia,West Indies,Australia,113 runs,Melbourne,7-Feb-10,New Zealand,First,Second
ODI # 2951,New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,8-Feb-10,Australia,Second,First
ODI # 2952,Australia,West Indies,Australia,8 wickets,Adelaide,9-Feb-10,New Zealand,Second,First
ODI # 2953,New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,11-Feb-10,Sri Lanka,Second,First
ODI # 2954,Australia,West Indies,no result,,Sydney,12-Feb-10,New Zealand,First,Second
ODI # 2955,Australia,West Indies,Australia,50 runs,Brisbane,14-Feb-10,Australia,First,Second
ODI # 2956,Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym),16-Feb-10,Sri Lanka,First,Second
ODI # 2957,Afghanistan,Canada,Afghanistan,1 run,Sharjah,16-Feb-10,Bangladesh,Second,First
ODI # 2958,Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym),18-Feb-10,India,First,Second
ODI # 2959,Afghanistan,Canada,Canada,4 wickets,Sharjah,18-Feb-10,Sri Lanka,First,Second
ODI # 2960,Australia,West Indies,Australia,125 runs,Melbourne,19-Feb-10,India,First,Second
ODI # 2961,India,South Africa,India,1 run,Jaipur,21-Feb-10,India,Second,First
ODI # 2962,India,South Africa,India,153 runs,Gwalior,24-Feb-10,Sri Lanka,Second,First
ODI # 2963,India,South Africa,South Africa,90 runs,Ahmedabad,27-Feb-10,India,Second,First
ODI # 2964,Bangladesh,England,England,6 wickets,Dhaka,28-Feb-10,India,Second,First
ODI # 2965,Bangladesh,England,England,2 wickets,Dhaka,2-Mar-10,Bangladesh,First,Second
ODI # 2966,New Zealand,Australia,New Zealand,2 wickets,Napier,3-Mar-10,Sri Lanka,Second,First
ODI # 2967,West Indies,Zimbabwe,Zimbabwe,2 runs,Providence,4-Mar-10,India,Second,First
ODI # 2968,Bangladesh,England,England,45 runs,Chittagong,5-Mar-10,India,Second,First
ODI # 2969,New Zealand,Australia,Australia,12 runs,Auckland,6-Mar-10,Sri Lanka,Second,First
ODI # 2970,West Indies,Zimbabwe,West Indies,4 wickets,Providence,6-Mar-10,India,First,Second
ODI # 2971,New Zealand,Australia,Australia,6 wickets,Hamilton,9-Mar-10,,Second,First
ODI # 2972,West Indies,Zimbabwe,West Indies,141 runs,Kingstown,10-Mar-10,Sri Lanka,Second,First
ODI # 2973,New Zealand,Australia,Australia,6 wickets,Auckland,11-Mar-10,India,Second,First
ODI # 2974,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,12-Mar-10,Bangladesh,First,Second
ODI # 2975,New Zealand,Australia,New Zealand,51 runs,Wellington,13-Mar-10,India,First,Second
ODI # 2976,West Indies,Zimbabwe,West Indies,4 wickets,Kingstown,14-Mar-10,India,Second,First
ODI # 2977,West Indies,Canada,West Indies,208 runs,Kingston,13-Apr-10,India,Second,First
ODI # 2978,West Indies,Ireland,West Indies,6 wickets,Kingston,15-Apr-10,,First,Second
ODI # 2979,West Indies,South Africa,South Africa,66 runs,North Sound,22-May-10,India,Second,First
ODI # 2980,West Indies,South Africa,South Africa,17 runs,North Sound,24-May-10,,First,Second
ODI # 2981,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,28-May-10,,Second,First
ODI # 2982,West Indies,South Africa,South Africa,67 runs,Roseau,28-May-10,Bangladesh,Second,First
ODI # 2983,India,Sri Lanka,India,7 wickets,Bulawayo,30-May-10,India,First,Second
ODI # 2984,West Indies,South Africa,South Africa,7 wickets,Roseau,30-May-10,India,Second,First
ODI # 2985,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,1-Jun-10,India,First,Second
ODI # 2986,Zimbabwe,India,Zimbabwe,7 wickets,Harare,3-Jun-10,Bangladesh,Second,First
ODI # 2987,West Indies,South Africa,South Africa,1 wicket,Port of Spain,3-Jun-10,,Second,First
ODI # 2988,India,Sri Lanka,Sri Lanka,6 wickets,Harare,5-Jun-10,India,Second,First
ODI # 2989,Zimbabwe,Sri Lanka,Zimbabwe,8 wickets,Harare,7-Jun-10,India,Second,First
ODI # 2990,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Harare,9-Jun-10,India,First,Second
ODI # 2991,Sri Lanka,Pakistan,Sri Lanka,16 runs,Dambulla,15-Jun-10,India,Second,First
ODI # 2992,Netherlands,Scotland,Netherlands,6 wickets,Rotterdam,15-Jun-10,India,Second,First
ODI # 2993,Bangladesh,India,India,6 wickets,Dambulla,16-Jun-10,Bangladesh,Second,First
ODI # 2994,Ireland,Australia,Australia,39 runs,Dublin,17-Jun-10,Sri Lanka,First,Second
ODI # 2995,Sri Lanka,Bangladesh,Sri Lanka,126 runs,Dambulla,18-Jun-10,India,Second,First
ODI # 2996,India,Pakistan,India,3 wickets,Dambulla,19-Jun-10,India,First,Second
ODI # 2997,Scotland,England,England,7 wickets,Edinburgh,19-Jun-10,Bangladesh,Second,First
ODI # 2998,Bangladesh,Pakistan,Pakistan,139 runs,Dambulla,21-Jun-10,India,Second,First
ODI # 2999,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,22-Jun-10,Bangladesh,First,Second
ODI # 3000,England,Australia,England,4 wickets,Southampton,22-Jun-10,Sri Lanka,Second,First
ODI # 3001,Sri Lanka,India,India,81 runs,Dambulla,24-Jun-10,Sri Lanka,Second,First
ODI # 3002,England,Australia,England,4 wickets,Cardiff,24-Jun-10,,First,Second
ODI # 3003,England,Australia,England,1 wicket,Manchester,27-Jun-10,India,Second,First
ODI # 3004,England,Australia,Australia,78 runs,The Oval,30-Jun-10,Bangladesh,Second,First
ODI # 3005,Afghanistan,Canada,Afghanistan,6 wickets,The Hague,1-Jul-10,Bangladesh,First,Second
ODI # 3006,Ireland,Kenya,Ireland,7 wickets,Rotterdam,1-Jul-10,Bangladesh,Second,First
ODI # 3007,Netherlands,Scotland,Scotland,1 wicket,Amstelveen,1-Jul-10,West Indies,First,Second
ODI # 3008,Afghanistan,Ireland,Ireland,39 runs,Rotterdam,"Jul 3-4, 2010",West Indies,First,Second
ODI # 3009,Canada,Scotland,Scotland,69 runs,Amstelveen,3-Jul-10,West Indies,First,Second
ODI # 3010,Netherlands,Kenya,Netherlands,117 runs,The Hague,3-Jul-10,West Indies,First,Second
ODI # 3011,England,Australia,Australia,42 runs,Lord's,3-Jul-10,West Indies,Second,First
ODI # 3012,Afghanistan,Kenya,Afghanistan,1 wicket,Amstelveen,5-Jul-10,Ireland,First,Second
ODI # 3013,Ireland,Scotland,Ireland,5 wickets,The Hague,5-Jul-10,Ireland,First,Second
ODI # 3014,Netherlands,Canada,Netherlands,7 wickets,Rotterdam,5-Jul-10,West Indies,First,Second
ODI # 3015,Canada,Ireland,Ireland,5 wickets,Amstelveen,7-Jul-10,West Indies,First,Second
ODI # 3016,Kenya,Scotland,Scotland,6 runs,Rotterdam,7-Jul-10,West Indies,First,Second
ODI # 3017,Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague,7-Jul-10,West Indies,First,Second
ODI # 3018,England,Bangladesh,England,6 wickets,Nottingham,8-Jul-10,West Indies,Second,First
ODI # 3019,Afghanistan,Scotland,Scotland,2 wickets,Rotterdam,9-Jul-10,Scotland,First,Second
ODI # 3020,Canada,Kenya,Canada,6 wickets,Schiedam,9-Jul-10,England,First,Second
ODI # 3021,Netherlands,Ireland,Ireland,39 runs,Amstelveen,9-Jul-10,Scotland,Second,First
ODI # 3022,Canada,Kenya,Canada,3 wickets,Schiedam,10-Jul-10,England,Second,First
ODI # 3023,Ireland,Scotland,Ireland,6 wickets,Amstelveen,10-Jul-10,England,First,Second
ODI # 3024,Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam,10-Jul-10,England,Second,First
ODI # 3025,England,Bangladesh,Bangladesh,5 runs,Bristol,10-Jul-10,England,First,Second
ODI # 3026,England,Bangladesh,England,144 runs,Birmingham,12-Jul-10,Scotland,Second,First
ODI # 3027,Ireland,Bangladesh,Ireland,7 wickets,Belfast,15-Jul-10,Scotland,Second,First
ODI # 3028,Ireland,Bangladesh,Bangladesh,6 wickets,Belfast,16-Jul-10,Canada,First,Second
ODI # 3029,Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow,20-Jul-10,Canada,Second,First
ODI # 3030,India,New Zealand,New Zealand,200 runs,Dambulla,10-Aug-10,,First,Second
ODI # 3031,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Dambulla,13-Aug-10,Zimbabwe,Second,First
ODI # 3032,Sri Lanka,India,India,6 wickets,Dambulla,16-Aug-10,Zimbabwe,Second,First
ODI # 3033,Scotland,Afghanistan,Afghanistan,9 wickets,Ayr,16-Aug-10,Sri Lanka,First,Second
ODI # 3034,Ireland,Netherlands,Ireland,70 runs,Dublin,16-Aug-10,Zimbabwe,First,Second
ODI # 3035,Scotland,Afghanistan,Scotland,6 wickets,Ayr,17-Aug-10,Sri Lanka,First,Second
ODI # 3036,Ireland,Netherlands,Ireland,9 wickets,Dublin,18-Aug-10,Zimbabwe,First,Second
ODI # 3037,Sri Lanka,New Zealand,no result,,Dambulla,"Aug 19-20, 2010",Sri Lanka,First,Second
ODI # 3038,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,22-Aug-10,Zimbabwe,Second,First
ODI # 3039,India,New Zealand,India,105 runs,Dambulla,25-Aug-10,Sri Lanka,Second,First
ODI # 3040,Sri Lanka,India,Sri Lanka,74 runs,Dambulla,28-Aug-10,Ireland,Second,First
ODI # 3041,Canada,Ireland,Canada,4 runs,Toronto,6-Sep-10,England,Second,First
ODI # 3042,Canada,Ireland,Ireland,92 runs,Toronto,7-Sep-10,Zimbabwe,Second,First
ODI # 3043,England,Pakistan,England,24 runs,Chester-le-Street,10-Sep-10,England,Second,First
ODI # 3044,England,Pakistan,England,4 wickets,Leeds,12-Sep-10,Zimbabwe,First,Second
ODI # 3045,England,Pakistan,Pakistan,23 runs,The Oval,17-Sep-10,Netherlands,Second,First
ODI # 3046,England,Pakistan,Pakistan,38 runs,Lord's,20-Sep-10,Netherlands,Second,First
ODI # 3047,England,Pakistan,England,121 runs,Southampton,22-Sep-10,Zimbabwe,Second,First
ODI # 3048,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,26-Sep-10,England,Second,First
ODI # 3049,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,28-Sep-10,Ireland,First,Second
ODI # 3050,Zimbabwe,Ireland,Ireland,20 runs,Harare,30-Sep-10,Ireland,First,Second
ODI # 3051,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,5-Oct-10,Bangladesh,Second,First
ODI # 3052,Kenya,Afghanistan,Kenya,92 runs,Nairobi (Gym),7-Oct-10,India,First,Second
ODI # 3053,Kenya,Afghanistan,Afghanistan,6 wickets,Nairobi (Gym),9-Oct-10,Bangladesh,First,Second
ODI # 3054,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka,11-Oct-10,India,Second,First
ODI # 3055,Kenya,Afghanistan,Kenya,8 wickets,Nairobi (Gym),11-Oct-10,Bangladesh,Second,First
ODI # 3056,Bangladesh,New Zealand,Bangladesh,9 runs,Dhaka,14-Oct-10,South Africa,Second,First
ODI # 3057,South Africa,Zimbabwe,South Africa,64 runs,Bloemfontein,15-Oct-10,Zimbabwe,First,Second
ODI # 3058,Bangladesh,New Zealand,Bangladesh,3 runs,Dhaka,17-Oct-10,,Second,First
ODI # 3059,South Africa,Zimbabwe,South Africa,8 wickets,Potchefstroom,17-Oct-10,Zimbabwe,First,Second
ODI # 3060,India,Australia,India,5 wickets,Visakhapatnam,20-Oct-10,India,Second,First
ODI # 3061,South Africa,Zimbabwe,South Africa,272 runs,Benoni,22-Oct-10,South Africa,First,Second
ODI # 3062,Pakistan,South Africa,South Africa,8 wickets,Abu Dhabi,29-Oct-10,Zimbabwe,Second,First
ODI # 3063,Pakistan,South Africa,Pakistan,1 wicket,Abu Dhabi,31-Oct-10,India,First,Second
ODI # 3064,Pakistan,South Africa,South Africa,2 runs,Dubai (DSC),2-Nov-10,South Africa,First,Second
ODI # 3065,Australia,Sri Lanka,Sri Lanka,1 wicket,Melbourne,3-Nov-10,U.A.E.,Second,First
ODI # 3066,Australia,Sri Lanka,Sri Lanka,29 runs,Sydney,5-Nov-10,U.A.E.,Second,First
ODI # 3067,Pakistan,South Africa,Pakistan,1 wicket,Dubai (DSC),5-Nov-10,U.A.E.,First,Second
ODI # 3068,Australia,Sri Lanka,Australia,8 wickets,Brisbane,7-Nov-10,U.A.E.,First,Second
ODI # 3069,Pakistan,South Africa,South Africa,57 runs,Dubai (DSC),8-Nov-10,U.A.E.,Second,First
